,event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),incremental_revenue,incremental_sold_units,revenue_before_promo,revenue_after_promo,city,product_name,category,campaign_name,start_date,end_date
0,7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,3420.00,18,6460.00,9880.00,Coimbatore,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Sankranti,10-01-2024,16-01-2024
1,a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,-11076.00,-71,61308.00,50232.00,Bengaluru,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
2,78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,18900.00,63,6600.00,25500.00,Vijayawada,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
3,a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,2013000.00,671,987000.00,3000000.00,Coimbatore,Atliq_Home_Essential_8_Product_Combo,Combo1,Diwali,12-11-2023,18-11-2023
4,1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,-825.00,-15,5940.00,5115.00,Bengaluru,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
5,8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,4750.00,25,17290.00,22040.00,Bengaluru,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Diwali,12-11-2023,18-11-2023
6,73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,-250.00,-5,1550.00,1300.00,Visakhapatnam,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
7,fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,60200.00,172,25550.00,85750.00,Hyderabad,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
8,6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,58310.00,49,35700.00,94010.00,Coimbatore,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
9,ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,189400.00,947,63600.00,253000.00,Madurai,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
10,dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,-3320.00,-8,32370.00,29050.00,Mysuru,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
